linkDescription,hours
"Business Hour : 9.00am to 9.00pm
Open daily 
Updated 28/5/2022",9.00am to 9.00pm
"Business Hour : 6.00am to 11.30am  Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 22/5/2022",6.00am to 11.30am
"Business Hour : 10.00am to 10.00pm 
Rest day : alternate Thursday
Updated 18/5/2022",10.00am to 10.00pm
"Business Hour : 9.00am to 2.00pm , 5.00pm to 9.00pm 
Rest day : Monday
Updated 9/4/2022","9.00am to 2.00pm , 5.00pm to 9.00pm"
"Business Hour : 8.00am to 3.30pm
Rest day : Sunday
Updated 29/4/2022",8.00am to 3.30pm
"Business Hour : 11.00am to 2.20pm , 5.20pm to 9.20pm 
Open daily 
Updated 14/8/2022
","11.00am to 2.20pm , 5.20pm to 9.20pm"
"Business Hour : 7.30am to 3.00pm
Rest day : Saturday
Updated 27/7/2022",7.30am to 3.00pm
"Business Hour : 6.30am to 4.00pm  
Open daily
Updated 23/5/2022",6.30am to 4.00pm
"Business Hour : 11.00am to 7.30pm 
Rest day : Sunday (if 1st & 15th of lunar month fall on Sunday , next day will be their rest day )
Updated 4/5/2022",11.00am to 7.30pm
"Business Hour : 11.00am to 10.00pm 
Open daily
Updated 15/4/2022",11.00am to 10.00pm
"Business Hour : 11.00am to 6.00pm
Rest day : Thursday 
Updated 17/4/2022",11.00am to 6.00pm
"Business Hour : 7.00am to 1.00pm
Rest day : Monday 
Updated 7/4/2022",7.00am to 1.00pm
"Business Hour : 6.30am to 1.30pm 
Rest day : alternate Wednesday
Updated 5/5/2022",6.30am to 1.30pm
"Business Hour : 9.30am to 9.00pm 
Rest day : Thursday 
Updated 1/4/2022",9.30am to 9.00pm
"Business Hour : 8.00am to 6.00pm  
Rest day : Saturday Updated 21/5/2022",8.00am to 6.00pm
"Business Hour : 7.00am to 2.30pm
Rest day : uncertain
Updated 14/5/2022",7.00am to 2.30pm
"Business Hour : 7.30am to 4.30pm
Rest day : Monday
Updated 31/3/2022",7.30am to 4.30pm
"Business Hour: 6.15am to 11.30am 
Rest day : Monday
Updated 21/5/2022",
"Business Hour : only open on Wednesday , weekends , 1st & 15th of lunar month 6.45am to 10.00am 
Updated 22/5/2022	",
"Business Hour : 10.30am to 7.00pm 
Rest day : Sunday 
Updated 22/5/2022",10.30am to 7.00pm
